Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.00000000000000e+09	(-2.86771051514661e+00dB,-6.31493979879090e+01°)	(-2.31113268807253e+01dB,-1.23400368870826e+02°)	(1.91436494046214e+01dB,-4.77194765502163e+01°)	(-1.79828592691357e+00dB,-3.49754375138589e+01°)
1.00575862496284e+09	(-2.88207110087755e+00dB,-6.34768947626749e+01°)	(-2.30752389289995e+01dB,-1.23553159645665e+02°)	(1.91283785706543e+01dB,-4.79532526723938e+01°)	(-1.81492051000064e+00dB,-3.51373500268710e+01°)
1.01155041168714e+09	(-2.89653801289399e+00dB,-6.38058190736292e+01°)	(-2.30392573192569e+01dB,-1.23706321547833e+02°)	(1.91129849375099e+01dB,-4.81878400218329e+01°)	(-1.83169468419684e+00dB,-3.52996865551145e+01°)
1.01737555113905e+09	(-2.91111148488109e+00dB,-6.41361747289851e+01°)	(-2.30033824343293e+01dB,-1.23859851643332e+02°)	(1.90974679474493e+01dB,-4.84232377699873e+01°)	(-1.84860922546947e+00dB,-3.54624444941534e+01°)
1.02323423538443e+09	(-2.92579173968945e+00dB,-6.44679655329017e+01°)	(-2.29676146505193e+01dB,-1.24013746952867e+02°)	(1.90818270475764e+01dB,-4.86594450481916e+01°)	(-1.86566490833759e+00dB,-3.56256212002796e+01°)
1.02912665759514e+09	(-2.94057898953556e+00dB,-6.48011953167647e+01°)	(-2.29319543394709e+01dB,-1.24168004487265e+02°)	(1.90660616879547e+01dB,-4.88964609830026e+01°)	(-1.88286250631897e+00dB,-3.57892140278385e+01°)
1.03505301205549e+09	(-2.95547343434776e+00dB,-6.51358678967535e+01°)	(-2.28964018647437e+01dB,-1.24322621187166e+02°)	(1.90501713250212e+01dB,-4.91342846358097e+01°)	(-1.90020279138560e+00dB,-3.59532202543222e+01°)
1.04101349416858e+09	(-2.97047526294079e+00dB,-6.54719871275278e+01°)	(-2.28609575855890e+01dB,-1.24477593994085e+02°)	(1.90341554177977e+01dB,-4.93729150738196e+01°)	(-1.91768653457441e+00dB,-3.61176371648622e+01°)
1.04700830046275e+09	(-2.98558465211087e+00dB,-6.58095568376629e+01°)	(-2.28256218527634e+01dB,-1.24632919780272e+02°)	(1.90180134320646e+01dB,-4.96123512998353e+01°)	(-1.93531450483740e+00dB,-3.62824619822828e+01°)
1.05303762859809e+09	(-3.00080176654042e+00dB,-6.61485808927630e+01°)	(-2.27903950120181e+01dB,-1.24788595410125e+02°)	(1.90017448368598e+01dB,-4.98525923135860e+01°)	(-1.95308747015828e+00dB,-3.64476919213187e+01°)
1.05910167737295e+09	(-3.01612675828917e+00dB,-6.64890631617041e+01°)	(-2.27552774018950e+01dB,-1.24944617704854e+02°)	(1.89853491066700e+01dB,-5.00936370763035e+01°)	(-1.97100619690664e+00dB,-3.66133241548624e+01°)
1.06520064673045e+09	(-3.03155976712748e+00dB,-6.68310075196339e+01°)	(-2.27202693541231e+01dB,-1.25100983453765e+02°)	(1.89688257210221e+01dB,-5.03354845219206e+01°)	(-1.98907144965591e+00dB,-3.67793558337363e+01°)
1.07133473776515e+09	(-3.04710091893246e+00dB,-6.71744178517345e+01°)	(-2.26853711927840e+01dB,-1.25257689398250e+02°)	(1.89521741653051e+01dB,-5.05781335409719e+01°)	(-2.00728399158702e+00dB,-3.69457840502851e+01°)
1.07750415272960e+09	(-3.06275032795048e+00dB,-6.75192980687268e+01°)	(-2.26505832367733e+01dB,-1.25414732283329e+02°)	(1.89353939282968e+01dB,-5.08215830320457e+01°)	(-2.02564458401221e+00dB,-3.71126059253151e+01°)
